tick,cur_x,cur_y,cur_yaw,target_x,target_y,target_yaw,force_x,force_y,v_cmd,w_cmd,cur_v
428, 0.2611, 8.3701, -1.4244, 0.0000, 0.0000, 0.0000, -0.0014, 1.0898, 0.2000, -0.6000, 0.2000
429, 0.2611, 8.3701, -1.4244, 0.0000, 0.0000, 0.0000, -0.0014, 1.0898, 0.2000, 0.6000, 0.2000
430, 0.2611, 8.3701, -1.4244, 0.0000, 0.0000, 0.0000, -0.0014, 1.0898, 0.2000, -0.6000, 0.2000
431, 0.2615, 8.3679, -1.4222, 0.0000, 0.0000, 0.0000, -0.0008, 1.1170, 0.2000, 0.6000, 0.2000
432, 0.2615, 8.3679, -1.4222, 0.0000, 0.0000, 0.0000, -0.0008, 1.1170, 0.2000, -0.6000, 0.2000
433, 0.2618, 8.3657, -1.4246, 0.0000, 0.0000, 0.0000, -0.0008, 1.1170, 0.2000, 0.6000, 0.2000
434, 0.2618, 8.3657, -1.4246, 0.0000, 0.0000, 0.0000, -0.0012, 1.0818, 0.2000, -0.6000, 0.2000
435, 0.2618, 8.3657, -1.4246, 0.0000, 0.0000, 0.0000, -0.0012, 1.0818, 0.2000, 0.6000, 0.2000
436, 0.2621, 8.3635, -1.4224, 0.0000, 0.0000, 0.0000, -0.0012, 1.0818, 0.2000, -0.6000, 0.2000
437, 0.2621, 8.3635, -1.4224, 0.0000, 0.0000, 0.0000, -0.0004, 1.1917, 0.2000, 0.6000, 0.2000
438, 0.2621, 8.3635, -1.4224, 0.0000, 0.0000, 0.0000, -0.0004, 1.1917, 0.2000, -0.6000, 0.2000
439, 0.2625, 8.3613, -1.4161, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
440, 0.2625, 8.3613, -1.4161, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
441, 0.2628, 8.3591, -1.4184, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
442, 0.2628, 8.3591, -1.4184, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
443, 0.2628, 8.3591, -1.4184, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
444, 0.2631, 8.3569, -1.4161, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
445, 0.2631, 8.3569, -1.4161, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
446, 0.2631, 8.3569, -1.4161, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
447, 0.2635, 8.3547, -1.4184, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
448, 0.2635, 8.3547, -1.4184, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, -0.6000, 0.2000
449, 0.2635, 8.3547, -1.4184, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.6000, 0.2000
450, 0.2638, 8.3525, -1.4247, 0.0000, 0.0000, 0.0000, -0.0013, 1.1086, 0.2000, -0.6000, 0.2000
451, 0.2638, 8.3525, -1.4247, 0.0000, 0.0000, 0.0000, -0.0013, 1.1086, 0.2000, 0.6000, 0.2000
452, 0.2638, 8.3525, -1.4247, 0.0000, 0.0000, 0.0000, -0.0013, 1.1086, 0.2000, -0.6000, 0.2000
453, 0.2641, 8.3503, -1.4225, 0.0000, 0.0000, 0.0000, -0.0014, 0.0538, 0.2000, 0.6000, 0.2000
454, 0.2641, 8.3503, -1.4225, 0.0000, 0.0000, 0.0000, -0.0014, 0.0538, 0.2000, -0.6000, 0.2000
455, 0.2645, 8.3481, -1.4248, 0.0000, 0.0000, 0.0000, -0.0014, 0.0538, 0.2000, 0.6000, 0.2000
456, 0.2645, 8.3481, -1.4248, 0.0000, 0.0000, 0.0000, -0.0011, 1.0198, 0.2000, -0.6000, 0.2000
457, 0.2645, 8.3481, -1.4248, 0.0000, 0.0000, 0.0000, -0.0011, 1.0198, 0.2000, 0.6000, 0.2000
458, 0.2648, 8.3459, -1.4226, 0.0000, 0.0000, 0.0000, -0.0003, 1.1217, 0.2000, -0.6000, 0.2000
459, 0.2648, 8.3459, -1.4226, 0.0000, 0.0000, 0.0000, -0.0003, 1.1217, 0.2000, 0.6000, 0.2000
460, 0.2648, 8.3459, -1.4226, 0.0000, 0.0000, 0.0000, -0.0003, 1.1217, 0.2000, -0.6000, 0.2000
461, 0.2651, 8.3437, -1.4164, 0.0000, 0.0000, 0.0000, -0.0003, -0.3473, 0.2000, 0.6000, 0.2000
